m0,m1,m2,m3,cloud,temp,humidity,ground_press,wind_speed,wind_dir,rain,snow,dew_point,vis,uv_idx,azimuth,elevation,month,day,hour,year
54.2828,54.6998,53.0764,51.6307,56,24.34,76,1006,5.12,181,0,0,18.3333,16.0934,5,259.989,56.6154,6,19,15,2022
47.4435,49.1757,48.8919,48.3035,1,24.37,76,1006,4.72,178,0,0,18.3333,16.0934,3,269.895,44.3523,6,19,16,2022
37.1416,36.1801,31.3164,38.1552,3,24.25,76,1006,4.47,180,0,0,18.3333,16.0934,2,277.825,32.07,6,19,17,2022
21.1464,21.2561,15.5211,18.6565,3,23.94,78,1005,4.09,170,0,0,18.8889,16.0934,1,285.204,20.0055,6,19,18,2022
7.64956,6.84952,4.10492,8.17307,7,23.44,81,1005,3.45,170,0,0,18.8889,16.0934,0,292.772,8.36063,6,19,19,2022
0,0,0,0,6,22.54,86,1005,3.54,165,0,0,18.8889,16.0934,0,301.076,-2.62317,6,19,20,2022
0,0,0,0,5,21.71,90,1006,2.72,154,0,0,18.8889,16.0934,0,310.629,-12.6137,6,19,21,2022
0,0,0,0,0,21.38,93,1006,2.77,136,0,0,19.4444,16.0934,0,321.922,-21.141,6,19,22,2022
0,0,0,0,1,20.96,95,1006,3.05,131,0,0,18.8889,16.0934,0,335.283,-27.5771,6,19,23,2022
0,0,0,0,5,20.73,96,1006,2.94,125,0,0,18.8889,16.0934,0,350.525,-31.2142,6,20,0,2022
0,0,0,0,74,20.89,94,1006,1.81,121,0,0,21.1111,16.0934,0,6.64429,-31.5196,6,20,1,2022
0,0,0,0,77,20.74,95,1005,1.77,138,0,0,20.5556,14.7416,0,22.1373,-28.4431,6,20,2,2022
0,0,0,0,79,20.58,96,1005,1.55,94,0,0,20.5556,13.4058,0,35.8651,-22.4511,6,20,3,2022
0,0,0,0,100,20.57,96,1005,1.9,81,0,0,20.5556,12.0701,0,47.5093,-14.2435,6,20,4,2022
0,0,0,0,98,20.44,96,1005,1.51,98,0,0,20,10.7182,0,57.3346,-4.47298,6,20,5,2022
0,0,0,0,99,20.56,95,1005,1.81,65,0,0,20.5556,9.38248,0,65.8211,6.36272,6,20,6,2022
1.99598,8.55388,2.16388,6.23792,99,20.92,93,1006,1.6,67,0,0,21.1111,8.04672,0,73.4805,17.9103,6,20,7,2022
9.74378,12.0985,10.8815,10.551,99,21.35,91,1006,1.13,97,0,0,20.5556,8.04672,1,80.8466,29.9158,6,20,8,2022
15.2436,19.9081,23.3156,20.1191,96,21.91,89,1006,0.43,67,0,0,20,8.04672,1,88.6034,42.1746,6,20,9,2022
28.7979,29.2114,35.2812,38.2862,36,22.48,87,1005,0.43,240,0,0,18.8889,8.04672,2,97.9845,54.465,6,20,10,2022
34.3075,38.2985,45.7791,39.9854,20,23.01,85,1005,1.58,271,0,0,18.3333,8.04672,3,112.247,66.3671,6,20,11,2022
38.6999,46.8333,46.8864,32.0175,20,23.49,83,1005,3.02,272,0,0,18.8889,8.04672,3,143.407,76.296,6,20,12,2022
49.1369,53.4766,48.9527,39.6592,22,23.8,82,1004,3.97,293,0,0,20.5556,8.04672,3,206.917,77.4711,6,20,13,2022
47.4901,54.3435,52.9872,50.6237,20,23.9,82,1004,4.18,280,0,0,21.1111,8.04672,3,244.027,68.4002,6,20,14,2022
44.6038,48.1458,49.0786,48.2721,17,23.72,82,1004,4.05,272,0,0,21.6667,8.04672,2,259.964,56.6647,6,20,15,2022
39.4525,41.4009,44.9031,43.332,2,23.47,82,1004,3.4,270,0,0,21.6667,8.04672,1,269.878,44.4018,6,20,16,2022
30.1145,34.428,32.2942,29.9305,1,23.41,82,1003,2.93,268,0,0,21.1111,8.04672,1,277.809,32.1192,6,20,17,2022
14.8392,19.1241,18.6178,15.6243,1,23.22,82,1003,2.45,275,0,0,20.5556,8.04672,0,285.187,20.0539,6,20,18,2022
9.32632,12.1519,8.70094,8.65134,1,22.96,84,1004,1.69,280,0,0,20.5556,11.2654,0,292.752,8.40755,6,20,19,2022
0,0,0,0,1,22.32,85,1004,1.25,323,0,0,21.1111,11.2654,0,301.052,-2.57857,6,20,20,2022
0,0,0,0,1,22.15,85,1004,1.25,322,0,0,21.1111,11.2654,0,310.598,-12.5727,6,20,21,2022
0,0,0,0,0,22.07,85,1005,1.89,323,0,0,21.1111,11.2654,0,321.883,-21.1057,6,20,22,2022
0,0,0,0,0,21.83,86,1005,1.47,350,0,0,21.1111,9.65606,0,335.235,-27.55,6,20,23,2022
0,0,0,0,13,21.85,86,1005,1.45,90,0,0,20.5556,9.65606,0,350.468,-31.1982,6,21,0,2022
0,0,0,0,10,20.85,94,1003,3.7,92,0,0,20.5556,9.65606,0,6.58502,-31.5164,6,21,1,2022
0,0,0,0,15,20.99,93,1003,3.81,76,0,0,19.4444,7.49954,0,22.0807,-28.4523,6,21,2,2022
0,0,0,0,27,21.08,93,1003,3.59,73,0.11,0,20,6.96846,0,35.8147,-22.4706,6,21,3,2022
0,0,0,0,98,21.18,93,1003,3.65,64,0,0,20,6.43738,0,47.4654,-14.2708,6,21,4,2022
0,0,0,0,99,21.37,92,1003,3.94,59,0.11,0,20,7.49954,0,57.2962,-4.50583,6,21,5,2022
0,0,0,0,99,21.57,91,1003,4.2,79,0.11,0,20,6.96846,0,65.7864,6.32597,6,21,6,2022
3.65806,4.54495,1.72097,4.7641,88,21.8,91,1003,4.21,81,0,0,20.5556,16.0934,1,73.4475,17.8709,6,21,7,2022
14.3014,10.7507,9.36045,11.8587,72,22.35,89,1003,4.11,78,0,0,20.5556,16.0934,1,80.8132,29.8746,6,21,8,2022
24.6427,19.6117,22.4153,21.0067,64,22.75,87,1003,4.3,76,0,0,20,16.0934,2,88.566,42.1326,6,21,9,2022
31.346,29.7418,31.2538,27.1158,53,22.89,87,1003,3.91,69,0,0,18.3333,16.0934,3,97.9359,54.4234,6,21,10,2022
41.4795,37.8801,32.9842,26.5404,56,23.03,86,1003,5.13,82,0,0,17.2222,16.0934,4,112.165,66.3288,6,21,11,2022
40.4052,46.9425,31.2816,20.437,50,23.63,82,1003,4.84,75,0,0,17.7778,16.0934,3,143.217,76.2738,6,21,12,2022
40.8682,51.5066,27.4874,23.4687,38,24.56,77,1002,3.67,70,0,0,18.3333,16.0934,2,206.715,77.4958,6,21,13,2022
46.2097,45.561,32.1073,22.9561,34,25.13,75,1002,2.19,56,0,0,18.8889,16.0934,2,243.957,68.4432,6,21,14,2022
39.5428,32.4616,32.9818,14.3432,40,24.89,76,1002,1.8,19,0,0,19.4444,16.0934,1,259.929,56.7108,6,21,15,2022
34.4644,31.9957,40.8025,31.1996,85,24.19,80,1002,2.57,334,0,0,20,16.0934,1,269.852,44.4484,6,21,16,2022
22.5638,20.7718,25.2467,19.6081,83,24.09,81,1002,3.39,341,0,0,20.5556,16.0934,0,277.786,32.1653,6,21,17,2022
10.0237,5.06519,11.675,6.05348,88,24.1,81,1002,3.1,10,0,0,20.5556,16.0934,0,285.164,20.0988,6,21,18,2022
5.74645,1.32851,4.95303,3.91491,90,23.93,82,1003,4.45,6,0,0,20.5556,16.0934,0,292.727,8.45063,6,21,19,2022
0,0,0,0,92,23.51,84,1004,3.33,26,0,0,20.5556,16.0934,0,301.022,-2.53835,6,21,20,2022
0,0,0,0,84,23.21,85,1004,2.8,63,0,0,21.1111,16.0934,0,310.562,-12.5368,6,21,21,2022
0,0,0,0,77,22.95,87,1005,2.48,88,0,0,21.1111,8.04672,0,321.84,-21.0761,6,21,22,2022
0,0,0,0,75,22.83,88,1005,2.42,83,0,0,21.6667,16.0934,0,335.183,-27.5293,6,21,23,2022
0,0,0,0,77,22.68,88,1005,3.09,94,0,0,21.6667,16.0934,0,350.411,-31.189,6,22,0,2022
0,0,0,0,69,21.49,90,1006,1.95,293,0,0,20,16.0934,0,6.52656,-31.52,6,22,1,2022
0,0,0,0,75,21.39,91,1006,1.97,280,0,0,19.4444,3.21869,0,22.0267,-28.4679,6,22,2,2022
0,0,0,0,79,21.32,91,1006,1.65,321,0,0,20,3.21869,0,35.7681,-22.4959,6,22,3,2022
0,0,0,0,91,21.13,92,1006,1.14,3,0,0,20,1.60934,0,47.4262,-14.3032,6,22,4,2022
0,0,0,0,55,21.16,91,1006,1.78,8,0,0,20,16.0934,0,57.263,-4.5432,6,22,5,2022
0,0,0,0,37,21.13,91,1007,1.41,49,0,0,20.5556,16.0934,0,65.7573,6.28524,6,22,6,2022
3.52178,6.86295,1.84391,5.47699,38,21.59,89,1007,1.58,47,0,0,20,16.0934,0,73.4208,17.8279,6,22,7,2022
14.8706,14.8824,13.4724,15.3723,36,22.15,86,1007,1.13,48,0,0,19.4444,16.0934,1,80.7868,29.8302,6,22,8,2022
24.9048,26.9941,27.7837,31.6384,42,22.76,83,1008,0.84,185,0,0,18.8889,16.0934,1,88.5369,42.0876,6,22,9,2022
29.5051,34.2604,35.5328,37.3233,94,23.39,80,1008,2.25,233,0,0,18.8889,16.0934,2,97.8978,54.3786,6,22,10,2022
32.7377,40.7018,40.0456,41.6441,97,23.79,78,1008,2.95,234,0,0,19.4444,16.0934,2,112.099,66.2866,6,22,11,2022
41.4012,53.4467,48.9155,45.4916,85,24.05,77,1008,3.44,234,0,0,20.5556,16.0934,3,143.043,76.2456,6,22,12,2022
46.9572,59.6007,47.8066,56.7876,65,24.1,78,1008,3.47,241,0,0,20.5556,16.0934,2,206.5,77.5141,6,22,13,2022
49.3059,57.1434,47.6661,56.2417,52,24.08,79,1008,3.88,233,0,0,21.1111,16.0934,2,243.871,68.482,6,22,14,2022
42.6867,46.0889,43.5047,42.8037,44,24.12,80,1007,4.56,225,0,0,20.5556,16.0934,1,259.882,56.7536,6,22,15,2022
42.8086,42.8726,43.9028,41.6351,0,23.88,82,1008,4.7,233,0,0,20.5556,16.0934,1,269.817,44.4919,6,22,16,2022
27.1626,26.6066,32.0921,26.5926,1,23.57,83,1007,3.69,232,0,0,20.5556,16.0934,0,277.755,32.2081,6,22,17,2022
15.4261,17.1657,19.1496,17.6291,1,23.42,84,1007,2.61,219,0,0,21.1111,16.0934,0,285.134,20.1403,6,22,18,2022
8.80871,13.7606,7.74027,8.76212,1,23.16,86,1007,2.22,200,0,0,21.1111,6.43738,0,292.695,8.48979,6,22,19,2022
0,0,0,0,2,22.5,90,1007,2.64,185,0,0,21.1111,6.43738,0,300.987,-2.50258,6,22,20,2022
0,0,0,0,15,22.11,92,1007,3.2,184,0,0,21.1111,6.43738,0,310.522,-12.5059,6,22,21,2022
0,0,0,0,57,21.86,94,1008,2.25,187,0,0,21.1111,6.43738,0,321.793,-21.0523,6,22,22,2022
0,0,0,0,74,21.82,93,1008,2,164,0,0,21.1111,6.43738,0,335.129,-27.515,6,22,23,2022
0,0,0,0,82,21.71,94,1007,2.65,146,0,0,20.5556,6.43738,0,350.352,-31.1865,6,23,0,2022
0,0,0,0,5,21.68,94,1007,3.24,131,0,0,21.6667,6.43738,0,6.46899,-31.5304,6,23,1,2022
0,0,0,0,7,21.58,95,1006,3.5,126,0,0,21.6667,0.402336,0,21.9754,-28.49,6,23,2,2022
0,0,0,0,10,21.59,95,1006,3.53,140,0,0,21.6667,0.402336,0,35.7255,-22.527,6,23,3,2022
0,0,0,0,35,21.69,95,1006,3.86,146,0,0,22.2222,10.4607,0,47.3918,-14.3408,6,23,4,2022
0,0,0,0,57,21.74,95,1005,4.19,143,0,0,22.2222,11.7965,0,57.235,-4.58503,6,23,5,2022
0,0,0,0,60,21.86,95,1006,4.72,145,0,0,22.2222,9.65606,0,65.7339,6.24062,6,23,6,2022
3.15295,5.20354,0.735944,3.13822,68,22.36,93,1006,5.72,158,0,0,22.2222,16.0934,0,73.4003,17.7815,6,23,7,2022
13.3686,9.17415,9.24673,8.41168,75,22.79,91,1006,6.92,171,0,0,21.6667,16.0934,1,80.7674,29.7827,6,23,8,2022
17.5035,13.5521,17.3126,12.5103,79,22.95,91,1006,7.2,185,0.15,0,21.6667,16.0934,1,88.5162,42.0395,6,23,9,2022
15.5105,15.5294,22.5316,18.2831,89,23.48,88,1005,8.12,185,0,0,20.5556,8.04672,1,97.8704,54.3308,6,23,10,2022
14.8891,17.2591,22.9758,19.589,95,23.64,88,1005,8.72,186,0.19,0,21.1111,8.04672,2,112.047,66.2407,6,23,11,2022
32.684,30.7799,20.608,17.7349,96,24.06,85,1004,8.17,191,0,0,20.5556,16.0934,3,142.886,76.2115,6,23,12,2022
31.5594,30.4783,13.0311,15.6363,97,24.14,84,1004,10.15,200,0,0,19.4444,16.0934,2,206.272,77.5258,6,23,13,2022
31.5915,28.8349,12.5288,19.1217,97,23.7,86,1003,10.05,206,0,0,21.1111,16.0934,2,243.77,68.5166,6,23,14,2022
27.567,23.8741,14.3922,18.0422,98,23.24,89,1003,9.46,202,0,0,20,16.0934,1,259.824,56.7931,6,23,15,2022
18.7607,18.6732,16.0288,20.4237,100,23.03,91,1003,8.89,201,0,0,20.5556,8.04672,1,269.774,44.5321,6,23,16,2022
7.60988,14.6659,12.1847,14.545,100,22.73,92,1002,8.77,200,0.12,0,21.1111,8.04672,0,277.718,32.2477,6,23,17,2022
7.6004,8.50326,10.8592,10.6147,100,22.5,94,1002,9.14,196,0.19,0,21.1111,16.0934,0,285.098,20.1782,6,23,18,2022
5.27001,4.4673,5.92038,6.92757,100,22.38,95,1002,8.7,197,0.51,0,21.1111,16.0934,0,292.658,8.52497,6,23,19,2022
0,0,0,0,100,22.18,95,1003,7.91,200,0.44,0,20.5556,16.0934,0,300.947,-2.47131,6,23,20,2022
0,0,0,0,100,22.13,95,1002,8.07,195,0.57,0,20,9.65606,0,310.477,-12.4802,6,23,21,2022
0,0,0,0,100,22.24,95,1002,8.92,198,0.53,0,20,9.65606,0,321.742,-21.0342,6,23,22,2022
0,0,0,0,100,22.22,96,1002,8.37,211,1.33,0,20,9.65606,0,335.072,-27.5071,6,23,23,2022
0,0,0,0,100,22.07,96,1002,8.02,202,3.4,0,20,16.0934,0,350.293,-31.1909,6,24,0,2022
0,0,0,0,100,22.22,97,1000,10.46,223,4.17,0,21.1111,4.82803,0,6.41239,-31.5475,6,24,1,2022
0,0,0,0,100,22.13,98,1000,9.19,209,3.16,0,20.5556,4.82803,0,21.9269,-28.5184,6,24,2,2022
0,0,0,0,100,22.02,98,1000,6.73,208,0.33,0,20.5556,4.82803,0,35.6868,-22.5639,6,24,3,2022
0,0,0,0,100,21.99,98,999,7.07,213,0.34,0,20.5556,4.82803,0,47.3621,-14.3834,6,24,4,2022
0,0,0,0,100,21.99,98,1000,8.38,208,0.48,0,20.5556,4.82803,0,57.2123,-4.63125,6,24,5,2022
0,0,0,0,100,22,98,1000,8.04,226,0.49,0,20.5556,4.82803,0,65.7163,6.19217,6,24,6,2022
0.961977,3.70435,0.908532,2.05725,100,21.71,98,1001,7.15,238,0.94,0,20,4.82803,0,73.3861,17.7317,6,24,7,2022
5.19138,6.22038,7.61839,7.5583,100,21.62,99,1001,5.57,239,0.82,0,20,6.43738,1,80.7551,29.7322,6,24,8,2022
8.35239,11.2666,13.3904,13.9698,100,21.58,99,1001,4.68,224,0.31,0,20,6.43738,1,88.5039,41.9886,6,24,9,2022
14.8353,15.6242,17.8342,19.2754,100,21.65,99,1001,3.75,230,0,0,20,8.04672,1,97.8537,54.2799,6,24,10,2022
17.2498,17.1371,17.0006,22.4126,100,21.98,98,1002,4.9,220,0,0,20.5556,9.65606,2,112.009,66.1911,6,24,11,2022
20.3454,18.2004,16.5543,25.4676,100,22.14,97,1001,4.61,231,0,0,20.5556,9.65606,3,142.746,76.1717,6,24,12,2022
23.5482,21.1719,13.0655,26.3204,100,22.09,97,1002,5.97,224,0,0,21.1111,11.2654,2,206.033,77.531,6,24,13,2022
24.0802,21.4708,13.5409,29.8985,100,22.03,97,1002,6.59,224,0,0,21.1111,11.2654,2,243.654,68.5469,6,24,14,2022
17.6578,18.2243,12.5512,17.9822,100,21.93,97,1002,7.16,216,0.27,0,21.1111,16.0934,1,259.755,56.8291,6,24,15,2022
18.5748,19.3472,17.2958,22.7366,100,21.89,93,1003,7.01,221,0.18,0,21.6667,16.0934,1,269.722,44.5691,6,24,16,2022
18.0966,17.0167,19.4224,17.8799,100,21.8,89,1003,4.58,211,0,0,21.6667,16.0934,0,277.673,32.2839,6,24,17,2022
9.74044,11.4535,14.5718,11.389,100,21.92,88,1002,4.12,189,0,0,22.2222,16.0934,0,285.055,20.2124,6,24,18,2022
5.95406,6.8955,6.52033,6.45608,96,21.93,89,1003,3.63,184,0,0,22.7778,16.0934,0,292.615,8.5561,6,24,19,2022
0,0,0,0,86,21.59,91,1003,2.54,206,0,0,22.7778,16.0934,0,300.901,-2.44461,6,24,20,2022
0,0,0,0,88,21.47,91,1003,3.8,201,0,0,22.2222,16.0934,0,310.427,-12.4596,6,24,21,2022
0,0,0,0,79,21.24,91,1004,3.94,193,0,0,22.2222,8.04672,0,321.687,-21.0219,6,24,22,2022
0,0,0,0,88,21.16,92,1004,4.61,172,0,0,21.6667,11.2654,0,335.013,-27.5056,6,24,23,2022
0,0,0,0,92,21.12,92,1004,4.86,165,0,0,21.1111,11.2654,0,350.232,-31.202,6,25,0,2022
0,0,0,0,81,21.59,99,1004,5.39,213,0,0,21.6667,8.04672,0,6.35688,-31.5715,6,25,1,2022
0,0,0,0,85,21.44,99,1003,4.4,211,0.27,0,21.6667,16.0934,0,21.8812,-28.5532,6,25,2,2022
0,0,0,0,88,21.16,99,1003,5.06,196,0.97,0,21.6667,16.0934,0,35.6523,-22.6066,6,25,3,2022
0,0,0,0,100,21.31,98,1003,3.29,201,0,0,20.5556,16.0934,0,47.3373,-14.431,6,25,4,2022
0,0,0,0,100,21.43,98,1003,4.7,170,0,0,21.1111,8.04672,0,57.195,-4.68178,6,25,5,2022
0,0,0,0,100,21.24,98,1004,3.47,180,0,0,21.6667,11.2654,0,65.7044,6.13999,6,25,6,2022
2.12086,7.91353,2.49852,7.44763,100,21.51,97,1004,2.87,151,0.1,0,21.6667,11.2654,1,73.3782,17.6786,6,25,7,2022
8.49761,10.5873,6.82654,11.7544,93,21.65,96,1005,3.53,161,0.95,0,21.6667,11.2654,1,80.75,29.6787,6,25,8,2022
11.2773,11.6872,11.1686,14.7148,92,21.92,95,1005,4.86,188,1.69,0,21.6667,11.2654,1,88.5001,41.9349,6,25,9,2022
16.257,14.8367,18.2085,18.7824,86,22.29,94,1005,5.48,195,1.53,0,21.6667,6.43738,2,97.8476,54.2261,6,25,10,2022
29.466,30.665,24.7064,22.6505,73,22.94,91,1005,5.44,195,0.26,0,21.6667,16.0934,3,111.986,66.1379,6,25,11,2022
42.4747,41.3232,21.0499,22.7896,56,23.36,89,1005,6.2,210,0,0,22.2222,16.0934,3,142.624,76.1263,6,25,12,2022
45.4339,47.5668,17.1807,27.3155,61,23.26,87,1006,6.36,207,0.11,0,21.6667,16.0934,3,205.782,77.5295,6,25,13,2022
43.5659,43.4756,22.4587,31.4091,69,23.38,87,1006,6.63,204,0,0,22.2222,16.0934,2,243.524,68.5728,6,25,14,2022
33.6593,36.612,33.2456,36.4596,74,23.31,87,1006,6.18,215,0.15,0,22.2222,16.0934,1,259.675,56.8615,6,25,15,2022
33.178,31.6544,32.4577,29.821,53,23.13,87,1006,5.53,206,0.34,0,22.2222,16.0934,1,269.662,44.6028,6,25,16,2022
26.248,26.2884,27.1558,30.4679,75,23.03,87,1006,5.88,195,0.21,0,22.2222,11.2654,2,277.621,32.3166,6,25,17,2022
16.435,19.0248,16.54,17.5395,56,22.79,89,1006,6.07,189,0,0,22.2222,11.2654,1,285.007,20.2429,6,25,18,2022
7.14858,9.33041,5.87938,9.6211,45,22.52,90,1007,6.47,185,0,0,22.2222,11.2654,0,292.567,8.58309,6,25,19,2022
0,0,0,0,37,22.3,91,1007,5.42,183,0,0,22.2222,11.2654,0,300.851,-2.42255,6,25,20,2022
0,0,0,0,31,22.16,92,1007,5.73,173,0,0,22.2222,11.2654,0,310.373,-12.4443,6,25,21,2022
0,0,0,0,16,21.98,94,1008,5.13,163,0,0,22.2222,11.2654,0,321.628,-21.0155,6,25,22,2022
0,0,0,0,47,22.02,94,1008,5.69,156,0,0,22.7778,11.2654,0,334.951,-27.5105,6,25,23,2022
0,0,0,0,64,22.3,92,1007,5.1,168,0,0,22.2222,9.65606,0,350.171,-31.2199,6,26,0,2022
0,0,0,0,11,22.15,93,1008,5.66,182,0,0,21.1111,9.65606,0,6.30253,-31.6022,6,26,1,2022
0,0,0,0,29,21.9,94,1008,5.69,173,0,0,21.1111,11.2654,0,21.8385,-28.5944,6,26,2,2022
0,0,0,0,40,22.06,92,1008,6.06,172,0,0,21.1111,11.2654,0,35.622,-22.6548,6,26,3,2022
0,0,0,0,77,22.05,93,1008,7.16,173,0,0,21.1111,9.65606,0,47.3174,-14.4835,6,26,4,2022
0,0,0,0,87,22,93,1008,6.82,168,0,0,21.1111,8.04672,0,57.183,-4.73655,6,26,5,2022
0,0,0,0,91,22.1,93,1009,6.64,161,0,0,21.1111,8.04672,0,65.6984,6.08414,6,26,6,2022
2.48362,6.58048,1.05991,4.96557,93,22.55,92,1010,7.3,164,0,0,21.1111,8.04672,0,73.3767,17.6224,6,26,7,2022
9.44637,8.9062,8.6664,11.4525,95,22.95,90,1010,7.63,171,0,0,21.6667,8.04672,1,80.7521,29.6223,6,26,8,2022
15.5413,14.944,19.4158,18.976,96,23.53,87,1011,7.99,176,0,0,21.6667,9.65606,1,88.5047,41.8784,6,26,9,2022
19.6918,19.9212,26.4802,28.1537,100,24,84,1011,8.7,183,0,0,21.6667,9.65606,2,97.8522,54.1695,6,26,10,2022
23.4118,25.2212,32.2906,26.3207,100,24.26,83,1011,8.67,185,0,0,21.1111,9.65606,2,111.978,66.0811,6,26,11,2022
20.7678,28.7676,31.9461,24.5713,100,24.15,84,1011,8.83,189,0.17,0,20.5556,9.65606,3,142.519,76.0752,6,26,12,2022
24.0646,33.512,27.2146,27.4383,100,24.41,84,1011,9.35,191,0.12,0,20.5556,9.65606,2,205.52,77.5213,6,26,13,2022
23.2207,32.8507,25.5516,32.5505,100,24.46,84,1010,9.53,190,0.3,0,20.5556,9.65606,2,243.378,68.5941,6,26,14,2022
24.6564,31.1711,28.529,28.3082,100,24.56,84,1010,9.59,190,0,0,20.5556,9.65606,1,259.584,56.8903,6,26,15,2022
23.5425,27.5127,27.3654,27.2003,100,24.3,84,1010,9.19,190,0,0,21.1111,9.65606,1,269.593,44.633,6,26,16,2022
16.0502,20.8037,19.8499,19.9252,100,24.06,86,1010,8.19,188,0,0,21.6667,9.65606,0,277.562,32.3458,6,26,17,2022
9.23132,16.0457,13.2621,16.7475,100,24.08,86,1010,7.91,185,0,0,22.2222,9.65606,0,284.952,20.2695,6,26,18,2022
6.05847,11.6639,6.62169,9.90349,97,23.73,87,1010,7.1,178,0,0,23.8889,9.65606,0,292.513,8.60587,6,26,19,2022
0,0,0,0,97,23.35,87,1010,6.56,172,0,0,23.8889,11.2654,0,300.796,-2.40519,6,26,20,2022
0,0,0,0,98,23.21,88,1010,5.54,162,0,0,23.3333,11.2654,0,310.314,-12.4342,6,26,21,2022
0,0,0,0,100,22.87,89,1011,5.06,139,0,0,22.7778,11.2654,0,321.565,-21.0151,6,26,22,2022
0,0,0,0,100,22.62,91,1011,4.32,130,0,0,22.2222,9.65606,0,334.886,-27.5219,6,26,23,2022
0,0,0,0,100,22.39,93,1011,3.83,141,0,0,21.6667,9.65606,0,350.109,-31.2447,6,27,0,2022
0,0,0,0,100,22.55,94,1010,5.39,141,0,0,21.1111,8.04672,0,6.24944,-31.6397,6,27,1,2022
0,0,0,0,100,22.68,93,1010,5.72,150,0,0,21.1111,8.04672,0,21.7988,-28.6418,6,27,2,2022
0,0,0,0,100,22.48,94,1010,5.13,146,0.11,0,21.1111,8.04672,0,35.5959,-22.7087,6,27,3,2022
0,0,0,0,100,22.78,92,1009,5.88,153,0,0,21.1111,6.43738,0,47.3025,-14.5408,6,27,4,2022
0,0,0,0,100,22.82,92,1009,5.81,154,0,0,21.1111,6.43738,0,57.1766,-4.79548,6,27,5,2022
0,0,0,0,100,22.74,92,1010,6.05,151,0,0,20.5556,6.43738,0,65.6983,6.02471,6,27,6,2022
1.21333,5.81924,1.24493,4.22709,100,23.04,92,1010,7.19,160,0.51,0,21.1111,6.43738,0,73.3816,17.563,6,27,7,2022
8.98171,7.69472,9.76448,11.6877,100,23.61,89,1010,8.71,162,0,0,21.1111,6.43738,1,80.7613,29.5631,6,27,8,2022
10.6808,12.9843,18.5028,16.3183,100,23.84,89,1010,8.41,171,0.18,0,21.6667,8.04672,1,88.5178,41.8194,6,27,9,2022
12.1955,16.2156,23.9604,21.7099,100,24.34,86,1009,9.27,173,0.26,0,21.6667,8.04672,2,97.8675,54.1101,6,27,10,2022
15.3732,20.5951,25.7425,24.4806,100,24.4,85,1009,9.72,175,0.36,0,22.2222,9.65606,2,111.984,66.021,6,27,11,2022
18.3098,22.9059,24.6561,26.7096,100,24.44,84,1009,9.61,177,1.46,0,22.2222,9.65606,3,142.432,76.0186,6,27,12,2022
19.0503,26.1626,19.0676,24.4046,100,24.47,84,1008,10.61,171,1.09,0,22.2222,9.65606,2,205.249,77.5064,6,27,13,2022
21.289,31.5766,20.3063,28.9796,100,24.52,84,1008,9.92,177,0.19,0,23.3333,9.65606,2,243.219,68.6108,6,27,14,2022
22.219,29.497,20.9696,33.9825,100,24.37,85,1007,10.15,177,0.32,0,22.7778,11.2654,2,259.483,56.9153,6,27,15,2022
19.3962,24.772,20.0524,23.3617,100,24.3,85,1007,10.39,178,0,0,22.7778,9.65606,1,269.516,44.6596,6,27,16,2022
